hello,Precinct,Fort,Total,FP
,01A,126,1310,0.096183206
,01B,172,1668,0.103117506
,01C,44,216,0.203703704
,01D,24,168,0.142857143
,01E,119,1454,0.081843191
,01F,32,171,0.187134503
,01G,92,492,0.18699187
,01H,18,152,0.118421053
,01I,0,2,0
,01J,64,556,0.115107914
,01P,41,259,0.158301158
,01R,30,183,0.163934426
,01S,43,333,0.129129129
,01T,48,346,0.138728324
,02A,62,981,0.063200815
,02B,42,570,0.073684211
,02C,72,534,0.134831461
,02D,99,1090,0.090825688
,02E,102,885,0.115254237
,02F1,109,916,0.118995633
,02F2,13,189,0.068783069
,02G,75,1080,0.069444444
,02J,65,743,0.087483176
,02K,56,476,0.117647059
,02L1,110,1554,0.070785071
,02L2,14,236,0.059322034
,02S,38,206,0.184466019
,02W,5,100,0.05
,03A,52,367,0.141689373
,03B,8,53,0.150943396
,03C,63,360,0.175
,03D,31,181,0.171270718
,03E,56,420,0.133333333
,03F,28,387,0.072351421
,03G,26,139,0.18705036
,03H,14,161,0.086956522
,03I,28,120,0.233333333
,03L,20,108,0.185185185
,03M,22,228,0.096491228
,03N,45,311,0.144694534
,03P1A,68,532,0.127819549
,03P2,1,3,0.333333333
,03S,21,163,0.128834356
,03T,41,335,0.12238806
,04A,40,257,0.155642023
,04B,45,309,0.145631068
,04C,0,28,0
,04D,73,401,0.182044888
,04F,35,393,0.089058524
,04G,20,123,0.162601626
,04I,23,215,0.106976744
,04J,10,67,0.149253731
,04K,143,649,0.220338983
,04L,82,452,0.181415929
,04M,23,140,0.164285714
,04S,92,626,0.146964856
,04T,64,296,0.216216216
,04V,72,424,0.169811321
,04W,7,74,0.094594595
,04X1,74,504,0.146825397
,04X2,26,146,0.178082192
,05A1,100,928,0.107758621
,05A2,142,1013,0.14017769
,05B,61,414,0.147342995
,05C,1,13,0.076923077
,05D,3,13,0.230769231
,05F,3,37,0.081081081
,05J,24,221,0.108597285
,05K,87,402,0.21641791
,06B,29,607,0.047775947
,06D,114,3106,0.036703155
,06E,33,643,0.051321928
,06F,88,949,0.092729189
,06G,19,215,0.088372093
,06I,35,470,0.074468085
,06J,35,1020,0.034313725
,06L1,10,447,0.022371365
,06L2,4,315,0.012698413
,06N,20,578,0.034602076
,06Q,7,77,0.090909091
,06R,27,725,0.037241379
,07A,38,1547,0.024563672
,07B,18,1076,0.016728625
,07C,19,1008,0.018849206
,07D,33,766,0.04308094
,07E,28,542,0.051660517
,07F,29,843,0.034400949
,07H,13,756,0.017195767
,07J,27,725,0.037241379
,07M,26,365,0.071232877
,07N,28,293,0.09556314
,08A,21,948,0.022151899
,08B,14,1123,0.012466607
,08C,3,575,0.005217391
,08D,2,476,0.004201681
,08E,19,1193,0.015926236
,08F1,7,1018,0.006876228
,08G,31,736,0.042119565
,08H,13,1050,0.012380952
,08J,12,1033,0.011616651
,08K,8,271,0.029520295
,08L,48,1042,0.046065259
,08M,9,684,0.013157895
,08N1,3,364,0.008241758
,08N2,8,472,0.016949153
,08P,24,333,0.072072072
,09A,74,959,0.077163712
,09B,9,57,0.157894737
,09C,127,877,0.144811859
,09D,72,437,0.164759725
,09E,56,545,0.102752294
,09F,47,1307,0.035960214
,09G,54,765,0.070588235
,09H,30,233,0.128755365
,09I,39,229,0.170305677
,09K,94,761,0.123521682
,09M,57,858,0.066433566
,10A,127,974,0.130390144
,10B,157,1628,0.096437346
,10C,46,534,0.086142322
,10D,106,958,0.110647182
,10E,49,331,0.148036254
,10F,39,329,0.118541033
,10G,77,565,0.136283186
,10H1,17,123,0.138211382
,10H2,60,565,0.10619469
,10I,15,186,0.080645161
,10J,47,222,0.211711712
,10K,78,564,0.138297872
,10M,127,729,0.174211248
,10P,48,342,0.140350877
,10R,16,163,0.098159509
,11B,201,1741,0.11545089
,11C,94,1326,0.070889894
,11E1,36,323,0.111455108
,11E2,36,314,0.114649682
,11E3,50,763,0.065530799
,11G,72,395,0.182278481
,11H,36,220,0.163636364
,11J,73,570,0.128070175
,11K,140,707,0.198019802
,11M,109,884,0.123303167
,11N,104,849,0.122497055
,11P,77,541,0.14232902
,11R,44,292,0.150684932
,12A,288,1372,0.209912536
,12D,43,196,0.219387755
,12E1,36,241,0.149377593
,12F,28,201,0.139303483
,12G,42,254,0.165354331
,12H1,16,92,0.173913043
,12H2,100,580,0.172413793
,12I,39,212,0.183962264
,12J,61,495,0.123232323
,12K,137,650,0.210769231
,12L,26,114,0.228070175
,12M,71,500,0.142
,12N,33,155,0.212903226
,12S,64,530,0.120754717
,,,,
