Candidate,Total,Young,Mid,Old,Male,Female,White,Black,Other
Mary Norwood,28.6,21.5,30.2,30.4,28.3,28.8,38.5,20.5,16.9
Vincent Fort,9.3,13.9,8.3,8,9.4,9.1,5.1,13.3,7.7
Ceasar Mitchell,8,7.8,9.3,6.4,7.4,8.5,4.9,10.3,13.8
John Eaves,3.8,5.2,3.1,3.9,5.7,2.3,3.6,4.1,3.1
Kwanza Hall,5.8,4.8,7.8,3,8.3,3.7,6.3,4.8,9.2
Cathy Woolard,6.1,7.8,6.1,4.7,8.1,4.4,10.8,1.6,6.2
Keisha Lance-Bottoms,8.6,7.8,7.4,11,6.3,10.7,3.3,14.3,4.6
Peter Aman,1.8,0,3,1.1,1.5,2.1,3.8,0,0
Undecided,28,31.2,24.8,31.5,25,30.4,23.7,31.1,38.5
Not Mary,71.4,78.5,69.8,69.6,71.7,71.2,61.5,79.5,83.1
Not Mary of Decided,61.82336182,68.75,62.32686981,56.52818991,63.53741497,60.44444444,52.13793103,70.2467344,72.5203252
Fort of Not Mary,13.02521008,17.70700637,11.89111748,11.49425287,13.11018131,12.78089888,8.292682927,16.72955975,9.265944645
Black of Decided,49.30555556,57.4127907,47.7393617,47.15328467,49.46666667,49.2816092,30.40629096,67.9245283,62.43902439
Fort of Black Decided,18.86197183,24.21063291,17.38607242,16.96594427,19.00269542,18.46530612,16.77284483,19.58055556,12.33203125
Weight,1200,233,605,362,543,657,554,581,65
